team,season,WAR,Enter,CG,SHO,G,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,AVG,BSV,NP,QS,SAC,SF,WPCT
Hanhwa,10,14.3,556,6,4,133,49,82,24,28,1169.1,763,705,5267,1290,,,146,550,17,73,806,5,65,5.43,5.09,1.57,85.2,90.9,14.3,,0.286,9,20322,46,85,41,0.374
KIA,10,23.68,539,4,1,133,59,74,25,40,1183.2,641,577,5205,1227,,,93,468,19,81,885,4,53,4.39,4.16,1.43,104,109.8,23.68,,0.272,26,20067,54,102,35,0.444
LG,10,14.38,646,3,1,133,57,71,31,59,1188,746,690,5326,1279,,,125,560,23,104,793,6,74,5.23,4.94,1.55,87,92.1,14.38,,0.284,19,20443,34,106,52,0.445
Lotte,10,18.38,542,7,3,133,69,61,21,37,1194,710,641,5204,1291,,,149,419,41,78,779,3,49,4.83,4.75,1.43,95.7,97.4,18.38,,0.282,14,19218,63,89,37,0.531
Nexen,10,18.15,597,1,1,133,52,78,27,39,1185.2,652,599,5231,1162,,,122,614,17,95,832,3,66,4.55,4.97,1.5,100,91.5,18.15,,0.265,12,21053,42,93,48,0.4
Samsung,10,28.95,572,2,1,133,79,52,33,44,1193.2,575,523,5119,1168,,,103,453,11,54,951,3,61,3.94,4.06,1.36,117,113.6,28.95,,0.26,12,19811,35,84,38,0.603
SK,10,29.64,549,2,1,133,84,47,36,39,1198.1,545,494,5114,1074,,,117,543,27,47,1091,2,80,3.71,4.14,1.35,122.6,109.7,29.64,,0.243,9,20297,53,85,22,0.641
Doosan,9,23.54,569,1,0,133,71,60,32,59,1186.1,662,607,5205,1221,,,120,515,7,75,862,3,55,4.6,4.52,1.46,103.2,105,23.54,,0.272,15,19936,27,73,47,0.542
Hanhwa,9,14.66,577,4,2,133,46,84,16,34,1174,805,743,5346,1335,,,176,569,27,77,908,5,57,5.7,5.17,1.62,85.9,94.6,14.66,,0.292,9,20758,32,65,56,0.354
Heroes,9,14.18,581,0,0,133,60,72,29,32,1174.1,762,706,5221,1231,,,176,565,19,61,840,5,51,5.41,5.26,1.53,89.2,91.8,14.18,,0.274,14,20576,44,73,33,0.455
KIA,9,31.12,480,4,0,133,81,48,38,36,1199,581,522,5176,1178,,,108,441,22,83,893,2,22,3.92,4.13,1.35,120.4,114.3,31.12,,0.258,14,19699,62,52,34,0.628
LG,9,12.78,598,0,0,133,54,75,25,38,1175,763,708,5339,1316,,,165,585,10,91,777,1,56,5.42,5.39,1.62,87.9,88.4,12.78,,0.29,11,20615,44,85,43,0.419
Lotte,9,20.54,484,6,6,133,66,67,40,37,1162.1,669,613,5165,1290,,,139,487,33,67,722,3,49,4.75,4.84,1.53,100.9,98.8,20.54,,0.287,7,18777,52,67,42,0.496
Samsung,9,20.3,544,3,1,133,64,69,32,45,1163.2,700,644,5209,1226,,,141,609,9,56,905,1,67,4.98,4.9,1.58,98,99.6,20.3,,0.278,14,20355,45,80,51,0.481
SK,9,31.66,556,2,0,133,80,47,33,34,1213,550,494,5203,1141,,,130,519,33,54,1032,3,68,3.67,4.22,1.37,129.1,112.3,31.66,,0.252,10,20394,54,64,31,0.63
Doosan,8,22.89,495,0,0,126,70,56,26,37,1134.2,542,490,4857,1115,,,78,379,13,69,780,5,45,3.89,3.82,1.32,105.3,107.2,22.89,,0.259,14,18259,41,66,45,0.556
Hanhwa,8,18.04,487,3,1,126,64,62,36,39,1129.2,595,556,4911,1136,,,95,519,28,49,723,4,37,4.43,4.4,1.47,95.8,96.5,18.04,,0.269,10,18991,44,74,46,0.508
Heroes,8,18.67,512,4,2,126,50,76,29,36,1125.1,609,554,4933,1159,,,91,465,20,70,729,2,46,4.43,4.28,1.44,95.6,99.1,18.67,,0.269,15,18768,57,52,39,0.397
KIA,8,21.21,513,3,1,126,57,69,29,26,1124,555,510,4850,1078,,,65,473,9,77,733,5,52,4.08,4.04,1.38,100.3,101.4,21.21,,0.256,10,18391,58,50,42,0.452
LG,8,12.67,527,1,0,126,46,80,25,40,1108.1,646,597,4976,1239,,,82,480,4,72,631,3,46,4.85,4.46,1.55,84.4,91.9,12.67,,0.288,10,18608,42,77,39,0.365
Lotte,8,21.94,445,9,3,126,69,57,27,38,1119,518,453,4769,1134,,,70,409,32,47,671,2,42,3.64,3.9,1.38,110.5,103.3,21.94,,0.27,11,17361,68,78,40,0.548
Samsung,8,19.63,535,0,0,126,65,61,40,48,1123.1,596,549,4867,1184,,,87,416,4,43,703,4,49,4.4,4.12,1.42,94.4,100.8,19.63,,0.275,7,18532,27,54,41,0.516
SK,8,26.7,609,1,1,126,83,43,43,72,1151,461,412,4855,1053,,,78,448,13,55,801,2,35,3.22,3.92,1.3,125.9,103.6,26.7,,0.248,16,18607,52,70,32,0.659
Doosan,7,25.41,497,6,4,126,70,54,30,42,1131.1,480,432,4814,1067,,,74,399,24,75,721,4,43,3.44,3.6,1.3,112.6,107.5,25.41,,0.252,11,18464,57,79,34,0.565
Hanhwa,7,24.7,450,9,3,126,67,57,39,36,1119,481,440,4781,1084,,,84,451,24,53,741,4,38,3.54,3.77,1.37,113.6,106.7,24.7,,0.261,12,18314,66,82,36,0.54
Hyundai,7,15.99,550,1,0,126,56,69,27,46,1127,615,552,4906,1104,,,119,466,20,48,796,4,32,4.41,4.11,1.39,90.5,97.2,15.99,,0.259,11,18861,44,91,32,0.448
KIA,7,12.75,530,2,1,126,51,74,26,27,1109.2,602,554,4933,1109,,,103,526,28,97,670,7,60,4.49,4.44,1.47,87.5,88.6,12.75,,0.266,6,18852,43,93,39,0.408
LG,7,16.88,557,2,1,126,58,62,34,58,1135.2,600,547,5014,1181,,,63,514,21,52,630,2,48,4.33,3.88,1.49,89.6,100,16.88,,0.275,16,19341,58,105,55,0.483
Lotte,7,17.56,523,2,0,126,55,68,22,24,1120.2,554,513,4871,1164,,,93,414,40,69,704,4,46,4.12,3.84,1.41,92.9,99.6,17.56,,0.274,12,18425,59,95,43,0.447
Samsung,7,22.85,547,0,0,126,62,60,41,51,1131.2,509,466,4824,1091,,,90,400,7,58,719,5,35,3.71,3.79,1.32,105.8,103.4,22.85,,0.258,6,18606,42,94,46,0.508
SK,7,23.29,588,1,0,126,73,48,36,77,1139.1,465,410,4852,1079,,,77,445,27,67,650,1,28,3.24,3.85,1.34,117.6,99.1,23.29,,0.256,9,18425,58,94,32,0.603
Doosan,6,23.56,436,7,3,126,63,60,39,29,1115.2,467,416,4690,968,,,69,424,13,69,834,1,55,3.36,3.3,1.25,106.6,108.3,23.56,,0.24,12,17927,67,117,47,0.512
Hanhwa,6,24.32,471,11,3,126,67,57,41,47,1121.1,475,420,4731,1077,,,94,373,17,49,760,2,37,3.37,3.52,1.29,111.2,106.5,24.32,,0.257,13,17764,56,94,18,0.54
Hyundai,6,24.19,492,2,1,126,70,55,41,45,1114.2,467,426,4771,1053,,,69,394,0,71,816,0,39,3.44,3.29,1.3,105,109.7,24.19,,0.251,11,18458,67,82,23,0.56
KIA,6,23.05,447,2,0,126,64,59,35,29,1118.1,451,417,4725,998,,,73,442,17,78,735,2,44,3.36,3.59,1.29,108,101,23.05,,0.243,11,18216,49,81,23,0.52
LG,6,12.67,535,3,2,126,47,75,29,53,1110,574,521,4834,1144,,,87,439,23,60,625,3,41,4.22,3.88,1.43,83.9,91.3,12.67,,0.273,14,18397,51,115,33,0.385
Lotte,6,14.8,527,5,1,126,50,73,28,34,1118.2,541,482,4822,1128,,,83,410,30,60,637,1,30,3.88,3.71,1.38,90.4,94.5,14.8,,0.268,18,18088,64,100,38,0.407
Samsung,6,23.47,513,1,0,126,73,50,49,65,1118,471,414,4699,1030,,,100,365,9,63,781,7,21,3.33,3.59,1.25,108.6,100.8,23.47,,0.249,13,18038,56,98,28,0.593
SK,6,15.36,564,0,0,126,60,65,33,52,1124,535,475,4819,1071,,,85,446,24,83,701,2,26,3.8,3.79,1.35,92.4,92.9,15.36,,0.259,16,18300,47,119,33,0.48
Doosan,5,27.26,516,2,1,126,72,51,33,51,1125,465,427,4774,1038,,,90,440,13,77,818,2,56,3.42,3.95,1.31,121.2,104.9,27.26,,0.251,0,18006,55,82,33,0.585
Hanhwa,5,19.05,549,2,1,126,64,61,36,43,1111,603,545,4870,1193,,,111,389,9,88,662,2,35,4.41,4.39,1.42,99.2,99.8,19.05,,0.279,0,18413,55,79,45,0.512
Hyundai,5,16.24,496,2,0,126,53,70,28,22,1115.2,647,583,4930,1175,,,125,422,2,80,803,3,43,4.7,4.38,1.43,91.2,98,16.24,,0.273,0,18926,47,85,33,0.431
KIA,5,11.45,517,8,1,126,49,76,24,26,1105,659,595,4975,1166,,,138,510,16,119,786,3,59,4.85,4.88,1.52,87.7,87.1,11.45,,0.276,0,19287,41,91,33,0.392
LG,5,12.62,606,3,1,126,54,71,31,59,1102.1,666,600,4969,1212,,,109,480,27,80,781,5,48,4.9,4.33,1.54,85,96.1,12.62,,0.283,0,19542,50,88,40,0.432
Lotte,5,21.73,494,2,0,126,58,67,33,24,1120.1,573,536,4845,1097,,,91,408,41,89,817,1,44,4.31,3.83,1.34,95.6,107.4,21.73,,0.26,0,18373,58,98,26,0.464
Samsung,5,26.24,552,2,1,126,74,48,37,62,1129.1,528,480,4791,1026,,,109,387,11,79,875,5,49,3.83,3.93,1.25,111.3,108.3,26.24,,0.244,0,18580,40,93,23,0.607
SK,5,25.16,523,2,2,126,70,50,27,50,1137,485,432,4822,1005,,,103,422,12,99,843,1,31,3.42,4.05,1.26,120.8,101.9,25.16,,0.24,0,18822,50,88,23,0.583
Doosan,4,25.07,521,4,2,133,70,62,38,47,1177.2,560,508,5056,1144,,,95,457,18,75,799,3,49,3.88,3.95,1.36,107.9,106.1,25.07,,0.26,0,19198,54,84,40,0.53
Hanhwa,4,12.08,534,3,0,133,53,74,37,36,1180.2,750,688,5267,1290,,,170,455,16,92,699,2,47,5.24,4.99,1.48,84,88.4,12.08,,0.282,0,19697,48,95,44,0.417
Hyundai,4,24.4,492,3,0,133,75,53,36,32,1187,590,537,5135,1193,,,123,440,0,59,842,4,41,4.07,4.14,1.38,106.4,104.6,24.4,,0.263,0,20159,70,69,25,0.586
KIA,4,21.03,559,5,3,133,67,61,27,24,1183,637,594,5199,1198,,,119,496,13,120,773,1,48,4.52,4.48,1.43,96.6,97.5,21.03,,0.268,0,19717,49,77,39,0.523
LG,4,16.75,606,3,1,132,59,70,35,64,1159.2,636,565,5156,1231,,,116,536,31,64,780,1,55,4.38,4.38,1.52,95.7,95.9,16.75,,0.277,0,20349,46,76,42,0.457
Lotte,4,22.8,538,4,2,133,50,72,29,46,1190.1,608,558,5160,1216,,,109,449,41,76,753,3,43,4.22,4.09,1.4,101.2,104.3,22.8,,0.272,0,19578,49,105,53,0.41
Samsung,4,27.09,557,4,2,133,73,52,42,74,1196.1,564,500,5138,1092,,,118,505,17,85,994,6,43,3.76,4.01,1.34,115.4,108.3,27.09,,0.247,0,20237,52,87,34,0.584
SK,4,19.01,531,3,1,134,61,64,29,49,1191,645,581,5240,1177,,,116,545,18,110,894,8,57,4.39,4.32,1.45,95.8,97.4,19.01,,0.263,0,20469,39,79,25,0.488
Doosan,3,19.11,591,7,2,133,57,74,30,53,1175.2,619,555,5144,1194,,,105,464,22,79,654,3,37,4.25,4.14,1.41,97.9,100.5,19.11,,0.268,0,19144,52,105,43,0.435
Hanhwa,3,22.43,502,4,2,133,63,65,35,31,1192,617,580,5165,1184,,,142,437,14,68,772,9,53,4.38,4.25,1.36,99.1,102.2,22.43,,0.261,0,19888,54,82,45,0.492
Hyundai,3,23.78,504,2,1,133,80,51,39,43,1190,627,550,5197,1245,,,120,457,6,62,840,2,56,4.16,3.95,1.43,103.9,109.3,23.78,,0.273,0,20181,58,92,33,0.611
KIA,3,25.71,463,12,3,133,78,50,36,34,1178,527,478,4999,1092,,,137,414,12,101,820,1,42,3.65,4.16,1.28,117.3,102.9,25.71,,0.25,0,19162,65,88,30,0.609
LG,3,21.01,588,2,1,133,60,71,37,51,1169.2,579,521,5166,1201,,,120,531,27,60,794,2,49,4.01,4.18,1.48,103.6,99.3,21.01,,0.271,0,20403,48,116,34,0.458
Lotte,3,10.44,616,3,0,133,39,91,22,58,1164.1,709,648,5173,1302,,,171,435,16,93,647,3,36,5.01,4.88,1.49,84.5,86.8,10.44,,0.289,0,19413,44,93,40,0.3
Samsung,3,22.77,529,2,1,133,76,53,30,41,1183,613,574,5150,1199,,,133,494,15,59,808,3,46,4.37,4.22,1.43,99.9,103.4,22.77,,0.268,0,19834,45,95,29,0.589
SK,3,17.27,530,3,3,133,66,64,43,48,1181.1,642,583,5158,1190,,,135,497,19,83,759,2,42,4.44,4.39,1.43,93.9,95.1,17.27,,0.267,0,19830,44,84,32,0.508
Doosan,2,24.76,515,3,2,133,66,65,38,43,1183,562,517,5087,1139,,,99,479,30,60,954,2,44,3.93,3.77,1.37,104.7,109.3,24.76,,0.257,0,19237,60,77,33,0.504
Hanhwa,2,20.39,521,8,1,133,59,69,32,32,1184.2,672,631,5198,1254,,,146,392,29,102,953,4,42,4.79,4.17,1.39,90.7,104.2,20.39,,0.272,0,20061,54,62,38,0.461
Hyundai,2,21.6,470,3,2,133,70,58,38,36,1186.1,614,559,5131,1219,,,142,416,12,64,890,5,54,4.24,4.24,1.38,100.7,100.7,21.6,,0.268,0,19927,49,64,32,0.547
KIA,2,22.4,482,10,1,133,78,51,38,30,1195,580,521,5106,1185,,,151,370,14,97,862,2,55,3.92,4.34,1.3,108.5,98.1,22.4,,0.26,0,19112,55,54,34,0.605
LG,2,20.63,588,2,0,133,66,61,32,40,1190.2,575,521,5145,1119,,,135,501,30,100,896,5,40,3.94,4.41,1.36,105,93.8,20.63,,0.252,0,20432,38,74,26,0.52
Lotte,2,13.49,492,5,1,133,35,97,13,19,1168,710,615,5156,1269,,,130,443,16,83,775,1,40,4.74,4.43,1.47,88.8,94.9,13.49,,0.281,0,19635,49,70,45,0.265
Samsung,2,25.54,481,2,1,133,82,47,37,22,1197.2,581,522,5089,1182,,,148,385,16,74,987,3,45,3.92,4.07,1.31,110,106,25.54,,0.262,0,19535,45,80,33,0.636
SK,2,17.29,489,5,3,133,61,69,25,15,1179,638,586,5074,1150,,,176,402,34,78,948,3,34,4.47,4.47,1.32,94.1,94.1,17.29,,0.255,0,19578,54,55,23,0.469
